show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description,score,id,duration_int,duration_type
s1,movie,ricky velez: here's everything,nan,nan,nan,2021-10-24,2021,tv-ma,nan,"comedy, stand up",​comedian ricky velez bares it all with his honest lens and down to earth perspective in his first-ever hbo stand-up special.,48,hs1,nan,nan
s2,movie,silent night,nan,nan,nan,2021-10-23,2020,nan,94 min,"crime, drama, thriller","mark, a low end south london hitman recently released from prison, tries to go straight for his daughter, but gets drawn back in by alan, his former cellmate, to do one final job.",8,hs2,94,min
s3,movie,the marksman,nan,nan,nan,2021-10-23,2021,pg-13,108 min,"action, thriller",a hardened arizona rancher tries to protect an 11-year-old migrant boy fleeing from a ruthless drug cartel.,8,hs3,108,min
s4,movie,gaia,nan,nan,nan,2021-10-22,2021,r,97 min,horror,a forest ranger and two survivalists with a cultish devotion to the forest face the threat of an unrelenting wilderness when a strange being attacks one night.,33,hs4,97,min
s5,movie,settlers,nan,nan,nan,2021-10-22,2021,nan,104 min,"science fiction, thriller",mankind's earliest settlers on the martian frontier do what they must to survive the cosmic elements and each other in this science-fiction thrill ride.,24,hs5,104,min
s6,tv show,the halloween candy magic pet,nan,nan,nan,2021-10-22,2021,nan,1 season,"family, kids","join mila and morphle on a mystery-filled halloween adventure! jam packed with morphs, costumes, twists turns and spooky morphing fun. this 22-minute halloween special will be a kooky, spooky ride! we meet new magic pet candyray who can turn anything or anyone into candy! we also meet felipe at the farm, who joins our heroes on their crazy adventure in his corn maze. there's a race against time to decorate the magic pet center in time for the halloweenist house contest, but with orphle and the bandits getting in their way...it won't be easy. perhaps candyray holds the key!",45,hs6,1,season
s7,movie,the evil next door,nan,nan,nan,2021-10-21,2020,nan,88 min,"horror, thriller","new to her role as a stepmom, a young woman moves into a duplex with her partner and his five-year-old son lucas. soon, strange noises start coming from the empty house adjoining theirs. also, who is lucas’s new friend?",37,hs7,88,min
s8,tv show,the next thing you eat,nan,nan,nan,2021-10-21,2021,nan,1 season,"cooking & food, documentaries, lifestyle & culture","with the unique insights and experience of ugly delicious creators morgan neville and david chang take a tangy look at food and our relationship to it past, present and future. why do we eat what we eat and are we missing something better? what will we be eating in the future and why?",76,hs8,1,season
s9,tv show,queens,nan,nan,nan,2021-10-20,2021,tv-14,1 season,"drama, music",four women in their 40s reunite for a chance to recapture their fame and regain the swagger they had as legends in the 1990s hip-hop world.,57,hs9,1,season
s10,tv show,the bachelorette,nan,nan,united states,2021-10-20,2003,tv-14,3 season,"reality, romance","abc's romance reality show lets one lucky lady narrow the field of bachelors, leaving only her dream man.",79,hs10,3,season
s11,tv show,the real queens of hip-hop: the women who changed the game,nan,nan,nan,2021-10-19,2021,nan,1 season,"music, news",the abc news special explores the inspiring rise of women in hip-hop and is narrated by cheryl “salt” james of salt-n-pepa.,28,hs11,1,season
s12,movie,dream horse,nan,nan,nan,2021-10-18,2020,pg,113 min,"comedy, drama",the film tells the inspiring true story of a small town bartender who decides to breed a racehorse. the community chips in their small earnings and the investment pays off as he becomes a beacon of hope in their struggling town.,34,hs12,113,min
s13,movie,out of the shadows: the man behind the steele dossier,nan,nan,nan,2021-10-18,2021,nan,nan,news,george stephanopoulos sits down with former mi6 spy christopher steele for a worldwide exclusive interview; marking his first interview since the publication of the series of intelligence reports now known as the steele dossier.,95,hs13,nan,nan
s14,tv show,wakefield,nan,nan,nan,2021-10-18,2021,nan,1 season,"drama, mystery","with a gift for soothing the afflicted and reaching the unreachable, brilliant psychiatric nurse nik katira is the most stable person at wakefield mental health unit in the picturesque blue mountains of australia. but as his own sanity suddenly starts to slip, he finds himself questioning the line between reality and madness.",40,hs14,1,season
s15,tv show,home sweet home,nan,nan,nan,2021-10-16,2021,tv-pg,1 season,reality,"real families of different backgrounds experience a new way of life when they trade homes, stepping out of their comfort zones to discover each other's similarities and celebrate their differences, created by executive producer ava duvernay.",100,hs15,1,season
s16,movie,showtime championship boxing: lopez vs. salido (r),nan,nan,nan,2021-10-16,2011,nan,nan,sports,juan manuel lopez vs. orlando salido for the wbo featherweight title.,100,hs16,nan,nan
s17,tv show,showtime championship boxing: wilder vs. molina,nan,nan,nan,2021-10-16,2015,tv-14,1 season,sports,champion deontay wilder vs. eric molina. live from the bartow arena.,25,hs17,1,season
s18,tv show,america's book of secrets,nan,nan,united states,2021-10-15,2012,tv-14,1 season,"documentaries, history","america's story can be told in many ways. while much of the history of our country is well documented and widely available, there is another deeper history one that has been shrouded in secrecy and hidden from public view; these are the stories we will reveal.",32,hs18,1,season
s19,tv show,beyond oak island,nan,nan,nan,2021-10-15,2020,tv-pg,1 season,"history, reality","from pirates such as blackbeard and outlaws like jesse james, to aztec gold, priceless historical artifacts from american history and sunken treasure ships, “beyond oak island” digs deep into the many treasure quests across the globe.",44,hs19,1,season
s20,tv show,beyond scared straight,nan,nan,united states,2021-10-15,2011,tv-14,6 season,"documentaries, reality, teen","beyond scared straight profiles the new approach to keeping today's teens from becoming tomorrow's prisoners. the power of the original scared straight! program has inspired dozens of inmate-run intervention programs in men's and women's prisons across the country. these youthful offender programs put boys and girls of all ethnicities and backgrounds, ranging in age from 11-18, into intensive one-day in-prison sessions that show them the realities of life behind bars.",58,hs20,6,season
s21,movie,cheer camp killer,nan,nan,nan,2021-10-15,2020,tv-14,87 min,thriller,"camp queen bee victoria does not take kindly to a newcomer like sophia taking her spotlight, so she launches a dangerous plan to get her rival out of the way.",39,hs21,87,min
s22,tv show,hoarders,nan,nan,united states,2021-10-15,2009,tv-pg,7 season,"health & wellness, lifestyle & culture, reality",each 60-minute episode of hoarders is a fascinating look inside the lives of two different people whose inability to part with their belongings is so out of control that they are on the verge of a personal crisis.,94,hs22,7,season
s23,tv show,little women: atlanta,nan,nan,united states,2021-10-15,2016,tv-14,2 season,"black stories, reality","in little women: atlanta, the little ladies turn it up wherever they go out, especially with club promoter emily leading the charge. there is no shortage of drama within this circle of friends as they face the daily challenges that come with being a little person.",14,hs23,2,season
s24,tv show,marrying millions,nan,nan,nan,2021-10-15,2019,tv-14,2 season,"documentaries, reality, romance","marrying millions follows six couples who are deeply in love and hoping to marry, but come from completely different worlds. regular people are whisked off their feet and plunged into a high-end life of riches",86,hs24,2,season
s25,tv show,nightwatch,nan,nan,united states,2021-10-15,2015,tv-14,4 season,"documentaries, drama, mystery","""nightwatch"" follows the dangerous stretch of time (between 9pm until 3am) when emergency responders deal with the busiest shift of the day and the most unnerving cases.",75,hs25,4,season
s26,tv show,seven year switch,nan,nan,nan,2021-10-15,2017,tv-14,1 season,reality,"in seven year switch, four couples at a crossroads in their relationship get a chance to live with a stranger for two weeks in an experimental marriage.",76,hs26,1,season
s27,movie,sleepwalker,nan,nan,nan,2021-10-15,2017,tv-14,88 min,thriller,a graduate student plagued by bouts of sleepwalking begins to have trouble differentiating between her dreams and reality.,43,hs27,88,min
s28,tv show,swamp people,nan,nan,united states,2021-10-15,2010,tv-pg,3 season,"documentaries, reality","deep in the heart of louisiana lies america's largest swamp – a million miles of inhospitable bayous, marshes and wetlands where nature rules and humans struggle to tame it.",93,hs28,3,season
s29,tv show,unsolved,nan,nan,nan,2021-10-15,2019,nan,2 season,"documentaries, news","more than 750 people are missing from houston and the surrounding towns of the major texas city. among the missing are mothers written off by police as runaways. they are hardworking couples who have been targeted. and they are upstanding members of their community who simply slowed down to give someone a ride. some have been found, their bodies dumped in the infamous texas killing fields. others have vanished and their cases gone cold. a year turns into five years, turns into a decade and it gets harder and harder for investigators to generate new leads. but, detectives quietly keep working. they work for the women whose stories are forgotten. they work for the families ripped apart by seemingly random attacks. dna is tested as evidence, sketches are drawn of the missing, surveillance video of a suspect is circulated among media in hopes of closing a case. but when the missing go unreported, victims faces have long since faded from the headlines and even the best video can't identify a murderer, do their cases go unsolved forever?",86,hs29,2,season
s30,tv show,acapulco shore,nan,nan,nan,2021-10-14,2014,tv-14,3 season,"latino, reality","a group of young mexicans live together and share fun, drama and a lot of alcohol.",31,hs30,3,season
s31,tv show,catfish méxico,nan,nan,nan,2021-10-14,2018,nan,1 season,"latino, reality","porque sabemos que no es fácil encontrar el amor verdadero en este mundo digital, mtv catfish llega a méxico para salvarte de las mentiras. todos nos merecemos saber quién está detrás de ese perfil falso.",89,hs31,1,season
s32,movie,censor,nan,nan,nan,2021-10-14,2021,nan,84 min,horror,a film censor is assigned to review a disturbing film that recalls her childhood memories. she begins to unravel how this eerie work might be tied to the long-ago disappearance of her sister.,76,hs32,84,min
s33,tv show,dani who?,nan,nan,nan,2021-10-14,2019,nan,1 season,"latino, mystery, science fiction",a girl disappears in the town of san gregorio and a group of teenagers decide to investigate what happened.,93,hs33,1,season
s34,tv show,la culpa es de cortés,nan,nan,nan,2021-10-14,2017,nan,4 season,"comedy, latino","cinco reconocidos comediantes mexicanos, de distintas regiones del país, se juntan para comentar de manera ácida y divertida las costumbres y tradiciones de méxico.",88,hs34,4,season
s35,movie,out of death,nan,nan,nan,2021-10-14,2021,not rated,95 min,thriller,"when shannon (jaime king) sets out on a hike to spread her deceased father’s ashes, she witnesses a corrupt sheriff’s deputy, billie (lala kent) brutally murder a drug dealer. having seen shannon witness the murder, billie and her cohorts set off to permanently silence shannon. on the run from the dirty cops, shannon stumbles into and recruits the help of a retired cop, jack harris (bruce willis).",67,hs35,95,min
s36,tv show,the real housewives of orange county,nan,nan,united states,2021-10-14,2006,tv-14,15 season,reality,"the o.c. ladies are back as the series goes behind the gates for a voyeuristic look at the scandalous truths, mending friendships, rocky marriages, sizzling romances, and ever-changing loyalties inside the wealthy southern california suburb.",55,hs36,15,season
s37,tv show,why not us,nan,nan,nan,2021-10-14,2021,nan,2 season,"documentaries, sports","all-access to the north carolina central university men's basketball program, which looks to become the first hbcu to reach the sweet 16.",97,hs37,2,season
s38,movie,bellator mma: kongo vs. johnson 2,nan,nan,nan,2021-10-13,2020,nan,nan,sports,cheick kongo vs. tim johnson battle in a historic classic from october 2020,93,hs38,nan,nan
s39,movie,chips,nan,nan,nan,2021-10-13,2017,r,101 min,"action, adventure, comedy",ponch and jon are together again in this hilarious update of the popular tv series that follows a mismatched pair of motorcycle cops.,97,hs39,101,min
s40,tv show,dopesick,nan,nan,nan,2021-10-13,2021,tv-ma,1 season,drama,"from executive producer danny strong and starring and executive produced by michael keaton, “dopesick” examines how one company triggered the worst drug epidemic in american history. the series takes viewers to the epicenter of america’s struggle with opioid addiction, from the boardrooms of big pharma, to a distressed virginia mining community, to the hallways of the dea. defying all the odds, heroes will emerge in an intense and thrilling ride to take down the craven corporate forces behind this national crisis and their allies. the limited series is inspired by the new york times bestselling book by beth macy.",12,hs40,1,season
s41,movie,in the crease,nan,nan,nan,2021-10-13,2020,nan,nan,sports,post-game analysis and highlight show airing each night throughout the nhl season from barry melrose and linda cohn.,35,hs41,nan,nan
s42,tv show,"champaign, ill",nan,nan,nan,2021-10-12,2018,nan,1 season,comedy,"after the death of their best friend, a wildly famous rap icon, alf and ronnie lose their lavish lifestyle and are forced to return home to champaign, illinois. in order to get back what the",92,hs42,1,season
s43,movie,the loneliest whale: the search for 52,nan,nan,nan,2021-10-12,2021,pg,97 min,documentaries,"a cinematic quest to find the “52 hertz whale.” as the film embarks on its engrossing journey, we uncover what this whale’s lonely plight teaches us not only about our relationship to the ocean, but to each other.",34,hs43,97,min
s44,movie,gunda,nan,nan,nan,2021-10-11,2020,g,93 min,documentaries,"experiential cinema in its purest form, gunda is a transcendent and masterfully intimate chronicle of a mother pig, a flock of chickens, and a herd of cows.",73,hs44,93,min
s45,tv show,buried,nan,nan,nan,2021-10-10,2021,tv-ma,1 season,"crime, documentaries","in january 1989, in a flash eileen franklin recalled being eight years old and witnessing the rape and murder of her best friend, susan nason. she also remembered the identity of the murderer ? it was eileen?s own father, george franklin. the ensuing trial was the first criminal case based on a repressed memory, and it raised questions and issues that continue to challenge the reliability of memory and of criminal testimony to this day. eileen franklin?s memories were terrifying beyond imagining... but were they true beyond a reasonable doubt?",17,hs45,1,season
s46,tv show,demon slayer kimetsu no yaiba,nan,nan,japan,2021-10-10,2019,tv-14,2 season,"action, adventure, anime","it is the taisho period in japan. tanjiro, a kindhearted boy who sells charcoal for a living, finds his family slaughtered by a demon. to make matters worse, his younger sister nezuko, the sole survivor, has been transformed into a demon herself. though devastated by this grim reality, tanjiro resolves to become a ""demon slayer"" so that he can turn his sister back into a human, and kill the demon that massacred his family. a sorrowful tale of siblings in which the fates of humans and demons intertwine... begins now!",15,hs46,2,season
s47,movie,g.i. joe: retaliation,nan,nan,nan,2021-10-10,2013,pg-13,105 min,"action, adventure",the greatest american heroes are back to face cobra in a new adventure.,59,hs47,105,min
